agency_id,agency_name,agency_type,year_month,sworn_officers,total_cfs,n_arrests,n_uof,provisional,uof_per_100_arrests
A001,Riverbend Police Department,Municipal Police,2019-01,412,17596,1691,41,0,2.425
A001,Riverbend Police Department,Municipal Police,2019-02,412,17809,1633,51,0,3.123
A001,Riverbend Police Department,Municipal Police,2019-03,412,17929,1729,58,0,3.355
A001,Riverbend Police Department,Municipal Police,2019-04,412,18262,1770,83,0,4.689
A001,Riverbend Police Department,Municipal Police,2019-05,412,18842,1706,61,0,3.576
A001,Riverbend Police Department,Municipal Police,2019-06,412,19084,1942,90,0,4.634
A001,Riverbend Police Department,Municipal Police,2019-07,412,20438,1801,98,0,5.441
A001,Riverbend Police Department,Municipal Police,2019-08,412,20010,1692,83,0,4.905
A001,Riverbend Police Department,Municipal Police,2019-09,412,19578,1777,85,0,4.783
A001,Riverbend Police Department,Municipal Police,2019-10,412,19279,1517,69,0,4.548
A001,Riverbend Police Department,Municipal Police,2019-11,412,18555,1616,59,0,3.651
A001,Riverbend Police Department,Municipal Police,2019-12,412,18090,1600,46,0,2.875
A001,Riverbend Police Department,Municipal Police,2020-01,412,18769,1853,58,0,3.13
A001,Riverbend Police Department,Municipal Police,2020-02,412,17712,1497,37,0,2.472
A001,Riverbend Police Department,Municipal Police,2020-03,412,18997,1677,51,0,3.041
A001,Riverbend Police Department,Municipal Police,2020-04,412,19038,1729,65,0,3.759
A001,Riverbend Police Department,Municipal Police,2020-05,412,19268,1792,69,0,3.85
A001,Riverbend Police Department,Municipal Police,2020-06,412,20159,1807,95,0,5.257
A001,Riverbend Police Department,Municipal Police,2020-07,412,20917,1913,77,0,4.025
A001,Riverbend Police Department,Municipal Police,2020-08,412,21021,2122,77,0,3.629
A001,Riverbend Police Department,Municipal Police,2020-09,412,20264,1856,79,0,4.256
A001,Riverbend Police Department,Municipal Police,2020-10,412,20725,2019,85,0,4.21
A001,Riverbend Police Department,Municipal Police,2020-11,412,18082,1624,51,0,3.14
A001,Riverbend Police Department,Municipal Police,2020-12,412,17526,1700,51,0,3.0
A001,Riverbend Police Department,Municipal Police,2021-01,412,18465,1618,51,0,3.152
A001,Riverbend Police Department,Municipal Police,2021-02,412,17569,1685,42,0,2.493
A001,Riverbend Police Department,Municipal Police,2021-03,412,18043,1697,58,0,3.418
A001,Riverbend Police Department,Municipal Police,2021-04,412,18520,1565,54,0,3.45
A001,Riverbend Police Department,Municipal Police,2021-05,412,21368,1789,51,0,2.851
A001,Riverbend Police Department,Municipal Police,2021-06,412,20323,1807,81,0,4.483
A001,Riverbend Police Department,Municipal Police,2021-07,412,20796,1966,90,0,4.578
A001,Riverbend Police Department,Municipal Police,2021-08,412,21068,1905,72,0,3.78
A001,Riverbend Police Department,Municipal Police,2021-09,412,20103,1730,54,0,3.121
A001,Riverbend Police Department,Municipal Police,2021-10,412,19900,1901,74,0,3.893
A001,Riverbend Police Department,Municipal Police,2021-11,412,18952,1723,45,0,2.612
A001,Riverbend Police Department,Municipal Police,2021-12,412,19002,1647,43,0,2.611
A001,Riverbend Police Department,Municipal Police,2022-01,412,18621,1739,36,0,2.07
A001,Riverbend Police Department,Municipal Police,2022-02,412,18521,1647,47,0,2.854
A001,Riverbend Police Department,Municipal Police,2022-03,412,19186,1612,46,0,2.854
A001,Riverbend Police Department,Municipal Police,2022-04,412,19800,1791,71,0,3.964
A001,Riverbend Police Department,Municipal Police,2022-05,412,20233,1777,64,0,3.602
A001,Riverbend Police Department,Municipal Police,2022-06,412,20925,1991,86,0,4.319
A001,Riverbend Police Department,Municipal Police,2022-07,412,20911,2190,79,0,3.607
A001,Riverbend Police Department,Municipal Police,2022-08,412,21854,2194,75,0,3.418
A001,Riverbend Police Department,Municipal Police,2022-09,412,20853,2010,69,0,3.433
A001,Riverbend Police Department,Municipal Police,2022-10,412,18957,1539,41,0,2.664
A001,Riverbend Police Department,Municipal Police,2022-11,412,20309,1842,54,0,2.932
A001,Riverbend Police Department,Municipal Police,2022-12,412,19070,1753,58,0,3.309
A001,Riverbend Police Department,Municipal Police,2023-01,412,18234,1651,41,0,2.483
A001,Riverbend Police Department,Municipal Police,2023-02,412,18906,1945,50,0,2.571
A001,Riverbend Police Department,Municipal Police,2023-03,412,19259,1943,64,0,3.294
A001,Riverbend Police Department,Municipal Police,2023-04,412,20450,1901,62,0,3.261
A001,Riverbend Police Department,Municipal Police,2023-05,412,21479,1971,54,0,2.74
A001,Riverbend Police Department,Municipal Police,2023-06,412,21865,2026,79,0,3.899
A001,Riverbend Police Department,Municipal Police,2023-07,412,21439,1925,55,0,2.857
A001,Riverbend Police Department,Municipal Police,2023-08,412,20810,1916,62,0,3.236
A001,Riverbend Police Department,Municipal Police,2023-09,412,21726,2124,68,0,3.202
A001,Riverbend Police Department,Municipal Police,2023-10,412,20296,2250,52,0,2.311
A001,Riverbend Police Department,Municipal Police,2023-11,412,20244,1783,52,0,2.916
A001,Riverbend Police Department,Municipal Police,2023-12,412,19581,1755,48,0,2.735
A001,Riverbend Police Department,Municipal Police,2024-01,412,18066,1714,34,0,1.984
A001,Riverbend Police Department,Municipal Police,2024-02,412,18202,1718,51,0,2.969
A001,Riverbend Police Department,Municipal Police,2024-03,412,19746,1934,56,0,2.896
A001,Riverbend Police Department,Municipal Police,2024-04,412,19431,2240,60,0,2.679
A001,Riverbend Police Department,Municipal Police,2024-05,412,21183,1856,53,0,2.856
A001,Riverbend Police Department,Municipal Police,2024-06,412,21697,2050,59,0,2.878
A001,Riverbend Police Department,Municipal Police,2024-07,412,21370,1839,54,0,2.936
A001,Riverbend Police Department,Municipal Police,2024-08,412,21855,1929,60,0,3.11
A001,Riverbend Police Department,Municipal Police,2024-09,412,21360,1803,57,0,3.161
A001,Riverbend Police Department,Municipal Police,2024-10,412,20675,1730,43,0,2.486
A001,Riverbend Police Department,Municipal Police,2024-11,412,19334,1725,48,0,2.783
A001,Riverbend Police Department,Municipal Police,2024-12,412,19369,1497,36,0,2.405
A001,Riverbend Police Department,Municipal Police,2025-01,412,18680,1582,40,0,2.528
A001,Riverbend Police Department,Municipal Police,2025-02,412,19399,1638,43,0,2.625
A001,Riverbend Police Department,Municipal Police,2025-03,412,20299,1758,40,0,2.275
A001,Riverbend Police Department,Municipal Police,2025-04,412,20697,1819,34,0,1.869
A001,Riverbend Police Department,Municipal Police,2025-05,412,21900,1905,42,0,2.205
A001,Riverbend Police Department,Municipal Police,2025-06,412,22294,2222,69,0,3.105
A001,Riverbend Police Department,Municipal Police,2025-07,412,22177,2168,71,0,3.275
A001,Riverbend Police Department,Municipal Police,2025-08,412,22327,2171,76,0,3.501
A001,Riverbend Police Department,Municipal Police,2025-09,412,21888,1940,41,0,2.113
A001,Riverbend Police Department,Municipal Police,2025-10,412,20720,2009,55,0,2.738
A001,Riverbend Police Department,Municipal Police,2025-11,412,19744,1631,36,0,2.207
A001,Riverbend Police Department,Municipal Police,2025-12,412,19498,1858,34,0,1.83
A001,Riverbend Police Department,Municipal Police,2026-01,412,18417,1775,30,0,1.69
A001,Riverbend Police Department,Municipal Police,2026-02,412,19501,1670,34,0,2.036
A001,Riverbend Police Department,Municipal Police,2026-03,412,19980,1863,31,0,1.664
A001,Riverbend Police Department,Municipal Police,2026-04,412,20862,1693,39,0,2.304
A001,Riverbend Police Department,Municipal Police,2026-05,412,15502,1386,24,1,1.732
A001,Riverbend Police Department,Municipal Police,2026-06,412,9615,905,13,1,1.436
A002,Cedar Falls Police Department,Municipal Police,2019-01,188,8198,801,40,0,4.994
A002,Cedar Falls Police Department,Municipal Police,2019-02,188,7951,822,30,0,3.65
A002,Cedar Falls Police Department,Municipal Police,2019-03,188,8612,763,21,0,2.752
A002,Cedar Falls Police Department,Municipal Police,2019-04,188,8816,836,28,0,3.349
A002,Cedar Falls Police Department,Municipal Police,2019-05,188,8616,815,24,0,2.945
A002,Cedar Falls Police Department,Municipal Police,2019-06,188,9160,768,31,0,4.036
A002,Cedar Falls Police Department,Municipal Police,2019-07,188,9269,849,55,0,6.478
A002,Cedar Falls Police Department,Municipal Police,2019-08,188,9459,882,33,0,3.741
A002,Cedar Falls Police Department,Municipal Police,2019-09,188,9431,834,34,0,4.077
A002,Cedar Falls Police Department,Municipal Police,2019-10,188,8830,835,31,0,3.713
A002,Cedar Falls Police Department,Municipal Police,2019-11,188,8309,873,21,0,2.405
A002,Cedar Falls Police Department,Municipal Police,2019-12,188,8564,849,32,0,3.769
A002,Cedar Falls Police Department,Municipal Police,2020-01,188,8145,732,28,0,3.825
A002,Cedar Falls Police Department,Municipal Police,2020-02,188,7471,752,31,0,4.122
A002,Cedar Falls Police Department,Municipal Police,2020-03,188,8415,829,33,0,3.981
A002,Cedar Falls Police Department,Municipal Police,2020-04,188,8360,698,27,0,3.868
A002,Cedar Falls Police Department,Municipal Police,2020-05,188,8748,917,38,0,4.144
A002,Cedar Falls Police Department,Municipal Police,2020-06,188,9698,890,39,0,4.382
A002,Cedar Falls Police Department,Municipal Police,2020-07,188,9291,788,36,0,4.569
A002,Cedar Falls Police Department,Municipal Police,2020-08,188,9146,841,36,0,4.281
A002,Cedar Falls Police Department,Municipal Police,2020-09,188,9198,806,30,0,3.722
A002,Cedar Falls Police Department,Municipal Police,2020-10,188,9191,893,33,0,3.695
A002,Cedar Falls Police Department,Municipal Police,2020-11,188,8712,831,35,0,4.212
A002,Cedar Falls Police Department,Municipal Police,2020-12,188,8189,723,31,0,4.288
A002,Cedar Falls Police Department,Municipal Police,2021-01,188,8085,759,27,0,3.557
A002,Cedar Falls Police Department,Municipal Police,2021-02,188,8376,786,28,0,3.562
A002,Cedar Falls Police Department,Municipal Police,2021-03,188,8470,773,17,0,2.199
A002,Cedar Falls Police Department,Municipal Police,2021-04,188,9322,782,26,0,3.325
A002,Cedar Falls Police Department,Municipal Police,2021-05,188,9249,861,34,0,3.949
A002,Cedar Falls Police Department,Municipal Police,2021-06,188,11303,980,176,0,17.959
A002,Cedar Falls Police Department,Municipal Police,2021-07,188,9659,989,45,0,4.55
A002,Cedar Falls Police Department,Municipal Police,2021-08,188,10485,946,37,0,3.911
A002,Cedar Falls Police Department,Municipal Police,2021-09,188,9180,901,43,0,4.772
A002,Cedar Falls Police Department,Municipal Police,2021-10,188,9354,841,27,0,3.21
A002,Cedar Falls Police Department,Municipal Police,2021-11,188,8773,818,21,0,2.567
A002,Cedar Falls Police Department,Municipal Police,2021-12,188,8564,827,35,0,4.232
A002,Cedar Falls Police Department,Municipal Police,2022-01,188,8290,804,28,0,3.483
A002,Cedar Falls Police Department,Municipal Police,2022-02,188,8429,816,22,0,2.696
A002,Cedar Falls Police Department,Municipal Police,2022-03,188,8426,764,22,0,2.88
A002,Cedar Falls Police Department,Municipal Police,2022-04,188,8976,806,18,0,2.233
A002,Cedar Falls Police Department,Municipal Police,2022-05,188,9010,916,38,0,4.148
A002,Cedar Falls Police Department,Municipal Police,2022-06,188,9676,812,28,0,3.448
A002,Cedar Falls Police Department,Municipal Police,2022-07,188,9664,916,43,0,4.694
A002,Cedar Falls Police Department,Municipal Police,2022-08,188,9856,821,34,0,4.141
A002,Cedar Falls Police Department,Municipal Police,2022-09,188,9561,960,33,0,3.438
A002,Cedar Falls Police Department,Municipal Police,2022-10,188,9101,782,21,0,2.685
A002,Cedar Falls Police Department,Municipal Police,2022-11,188,8618,792,35,0,4.419
A002,Cedar Falls Police Department,Municipal Police,2022-12,188,8561,846,22,0,2.6
