agency_id,agency_name,agency_type,year_month,incident_type,incident_detail,n_calls
A001,Riverbend Police Department,Municipal Police,2019-01,Offense Against Person,Assault,354
A001,Riverbend Police Department,Municipal Police,2019-01,Offense Against Person,Homicide,5
A001,Riverbend Police Department,Municipal Police,2019-01,Offense Against Person,Rape,27
A001,Riverbend Police Department,Municipal Police,2019-01,Offense Against Person,Robbery,55
A001,Riverbend Police Department,Municipal Police,2019-01,Offense Against Person,Civil order violation,116
A001,Riverbend Police Department,Municipal Police,2019-01,Offense Against Person,Offense Against Person - Other,455
A001,Riverbend Police Department,Municipal Police,2019-01,Property Offense,Arson,25
A001,Riverbend Police Department,Municipal Police,2019-01,Property Offense,Burglary,235
A001,Riverbend Police Department,Municipal Police,2019-01,Property Offense,Theft,452
A001,Riverbend Police Department,Municipal Police,2019-01,Property Offense,Mischief,163
A001,Riverbend Police Department,Municipal Police,2019-01,Property Offense,Trespassing,145
A001,Riverbend Police Department,Municipal Police,2019-01,Property Offense,Vehicle theft/prowl,181
A001,Riverbend Police Department,Municipal Police,2019-01,Property Offense,Property Offense - Other,512
A001,Riverbend Police Department,Municipal Police,2019-01,Public Order Offense,Public disturbance,626
A001,Riverbend Police Department,Municipal Police,2019-01,Public Order Offense,Drug related,250
A001,Riverbend Police Department,Municipal Police,2019-01,Public Order Offense,Sex related,93
A001,Riverbend Police Department,Municipal Police,2019-01,Public Order Offense,Weapon related,163
A001,Riverbend Police Department,Municipal Police,2019-01,Public Order Offense,Transit related,118
A001,Riverbend Police Department,Municipal Police,2019-01,Public Order Offense,Public Order Offense - Other,942
A001,Riverbend Police Department,Municipal Police,2019-01,Vehicle Stop,DUI,241
A001,Riverbend Police Department,Municipal Police,2019-01,Vehicle Stop,Accident,667
A001,Riverbend Police Department,Municipal Police,2019-01,Vehicle Stop,Moving violation,1349
A001,Riverbend Police Department,Municipal Police,2019-01,Vehicle Stop,Non-moving violation,436
A001,Riverbend Police Department,Municipal Police,2019-01,Vehicle Stop,Vehicle Stop - Other,640
A001,Riverbend Police Department,Municipal Police,2019-01,Pedestrian Stop,Pedestrian Stop,407
A001,Riverbend Police Department,Municipal Police,2019-01,Civil Caretaking,Mental health / wellness check,898
A001,Riverbend Police Department,Municipal Police,2019-01,Civil Caretaking,Civil infraction,586
A001,Riverbend Police Department,Municipal Police,2019-01,Civil Caretaking,Eviction order enforcement,189
A001,Riverbend Police Department,Municipal Police,2019-01,Civil Caretaking,Domestic order enforcement,445
A001,Riverbend Police Department,Municipal Police,2019-01,Civil Caretaking,Civil Caretaking - Other,2089
A001,Riverbend Police Department,Municipal Police,2019-01,Warrant,Warrant,315
A001,Riverbend Police Department,Municipal Police,2019-01,Other,Other,4417
A001,Riverbend Police Department,Municipal Police,2019-02,Offense Against Person,Assault,288
A001,Riverbend Police Department,Municipal Police,2019-02,Offense Against Person,Homicide,8
A001,Riverbend Police Department,Municipal Police,2019-02,Offense Against Person,Rape,23
A001,Riverbend Police Department,Municipal Police,2019-02,Offense Against Person,Robbery,57
A001,Riverbend Police Department,Municipal Police,2019-02,Offense Against Person,Civil order violation,105
A001,Riverbend Police Department,Municipal Police,2019-02,Offense Against Person,Offense Against Person - Other,413
A001,Riverbend Police Department,Municipal Police,2019-02,Property Offense,Arson,44
A001,Riverbend Police Department,Municipal Police,2019-02,Property Offense,Burglary,200
A001,Riverbend Police Department,Municipal Police,2019-02,Property Offense,Theft,483
A001,Riverbend Police Department,Municipal Police,2019-02,Property Offense,Mischief,139
A001,Riverbend Police Department,Municipal Police,2019-02,Property Offense,Trespassing,152
A001,Riverbend Police Department,Municipal Police,2019-02,Property Offense,Vehicle theft/prowl,199
A001,Riverbend Police Department,Municipal Police,2019-02,Property Offense,Property Offense - Other,485
A001,Riverbend Police Department,Municipal Police,2019-02,Public Order Offense,Public disturbance,675
A001,Riverbend Police Department,Municipal Police,2019-02,Public Order Offense,Drug related,315
A001,Riverbend Police Department,Municipal Police,2019-02,Public Order Offense,Sex related,102
A001,Riverbend Police Department,Municipal Police,2019-02,Public Order Offense,Weapon related,150
A001,Riverbend Police Department,Municipal Police,2019-02,Public Order Offense,Transit related,127
A001,Riverbend Police Department,Municipal Police,2019-02,Public Order Offense,Public Order Offense - Other,1027
A001,Riverbend Police Department,Municipal Police,2019-02,Vehicle Stop,DUI,199
A001,Riverbend Police Department,Municipal Police,2019-02,Vehicle Stop,Accident,615
A001,Riverbend Police Department,Municipal Police,2019-02,Vehicle Stop,Moving violation,1242
A001,Riverbend Police Department,Municipal Police,2019-02,Vehicle Stop,Non-moving violation,424
A001,Riverbend Police Department,Municipal Police,2019-02,Vehicle Stop,Vehicle Stop - Other,595
A001,Riverbend Police Department,Municipal Police,2019-02,Pedestrian Stop,Pedestrian Stop,457
A001,Riverbend Police Department,Municipal Police,2019-02,Civil Caretaking,Mental health / wellness check,890
A001,Riverbend Police Department,Municipal Police,2019-02,Civil Caretaking,Civil infraction,614
A001,Riverbend Police Department,Municipal Police,2019-02,Civil Caretaking,Eviction order enforcement,208
A001,Riverbend Police Department,Municipal Police,2019-02,Civil Caretaking,Domestic order enforcement,415
A001,Riverbend Police Department,Municipal Police,2019-02,Civil Caretaking,Civil Caretaking - Other,2047
A001,Riverbend Police Department,Municipal Police,2019-02,Warrant,Warrant,353
A001,Riverbend Police Department,Municipal Police,2019-02,Other,Other,4758
A001,Riverbend Police Department,Municipal Police,2019-03,Offense Against Person,Assault,353
A001,Riverbend Police Department,Municipal Police,2019-03,Offense Against Person,Homicide,12
A001,Riverbend Police Department,Municipal Police,2019-03,Offense Against Person,Rape,28
A001,Riverbend Police Department,Municipal Police,2019-03,Offense Against Person,Robbery,62
A001,Riverbend Police Department,Municipal Police,2019-03,Offense Against Person,Civil order violation,108
A001,Riverbend Police Department,Municipal Police,2019-03,Offense Against Person,Offense Against Person - Other,467
A001,Riverbend Police Department,Municipal Police,2019-03,Property Offense,Arson,31
A001,Riverbend Police Department,Municipal Police,2019-03,Property Offense,Burglary,224
A001,Riverbend Police Department,Municipal Police,2019-03,Property Offense,Theft,445
A001,Riverbend Police Department,Municipal Police,2019-03,Property Offense,Mischief,169
A001,Riverbend Police Department,Municipal Police,2019-03,Property Offense,Trespassing,155
A001,Riverbend Police Department,Municipal Police,2019-03,Property Offense,Vehicle theft/prowl,174
A001,Riverbend Police Department,Municipal Police,2019-03,Property Offense,Property Offense - Other,498
A001,Riverbend Police Department,Municipal Police,2019-03,Public Order Offense,Public disturbance,663
A001,Riverbend Police Department,Municipal Police,2019-03,Public Order Offense,Drug related,332
A001,Riverbend Police Department,Municipal Police,2019-03,Public Order Offense,Sex related,91
