agency_id,year_month,incident_type,n_calls
A001,2019-01,Civil Caretaking,4207
A001,2019-01,Offense Against Person,1012
A001,2019-01,Other,4417
A001,2019-01,Pedestrian Stop,407
A001,2019-01,Property Offense,1713
A001,2019-01,Public Order Offense,2192
A001,2019-01,Vehicle Stop,3333
A001,2019-01,Warrant,315
A001,2019-02,Civil Caretaking,4174
A001,2019-02,Offense Against Person,894
A001,2019-02,Other,4758
A001,2019-02,Pedestrian Stop,457
A001,2019-02,Property Offense,1702
A001,2019-02,Public Order Offense,2396
A001,2019-02,Vehicle Stop,3075
A001,2019-02,Warrant,353
A001,2019-03,Civil Caretaking,4083
A001,2019-03,Offense Against Person,1030
A001,2019-03,Other,4685
A001,2019-03,Pedestrian Stop,537
A001,2019-03,Property Offense,1696
A001,2019-03,Public Order Offense,2496
A001,2019-03,Vehicle Stop,2996
A001,2019-03,Warrant,406
A001,2019-04,Civil Caretaking,4094
A001,2019-04,Offense Against Person,1174
A001,2019-04,Other,4391
A001,2019-04,Pedestrian Stop,493
A001,2019-04,Property Offense,1805
A001,2019-04,Public Order Offense,2538
A001,2019-04,Vehicle Stop,3411
A001,2019-04,Warrant,356
A001,2019-05,Civil Caretaking,3673
A001,2019-05,Offense Against Person,1310
A001,2019-05,Other,4658
A001,2019-05,Pedestrian Stop,490
A001,2019-05,Property Offense,2087
A001,2019-05,Public Order Offense,2750
A001,2019-05,Vehicle Stop,3535
A001,2019-05,Warrant,339
A001,2019-06,Civil Caretaking,3515
A001,2019-06,Offense Against Person,1281
A001,2019-06,Other,4493
A001,2019-06,Pedestrian Stop,545
A001,2019-06,Property Offense,2138
A001,2019-06,Public Order Offense,3159
A001,2019-06,Vehicle Stop,3640
A001,2019-06,Warrant,313
A001,2019-07,Civil Caretaking,3358
A001,2019-07,Offense Against Person,1540
A001,2019-07,Other,5114
A001,2019-07,Pedestrian Stop,578
A001,2019-07,Property Offense,2057
A001,2019-07,Public Order Offense,3535
A001,2019-07,Vehicle Stop,3845
A001,2019-07,Warrant,411
A001,2019-08,Civil Caretaking,3824
A001,2019-08,Offense Against Person,1278
A001,2019-08,Other,4910
A001,2019-08,Pedestrian Stop,522
A001,2019-08,Property Offense,2274
A001,2019-08,Public Order Offense,2967
A001,2019-08,Vehicle Stop,3821
A001,2019-08,Warrant,414
A001,2019-09,Civil Caretaking,3498
A001,2019-09,Offense Against Person,1319
A001,2019-09,Other,4514
A001,2019-09,Pedestrian Stop,570
A001,2019-09,Property Offense,1931
A001,2019-09,Public Order Offense,3180
A001,2019-09,Vehicle Stop,4185
A001,2019-09,Warrant,381
A001,2019-10,Civil Caretaking,3741
A001,2019-10,Offense Against Person,970
A001,2019-10,Other,4692
A001,2019-10,Pedestrian Stop,524
A001,2019-10,Property Offense,2158
A001,2019-10,Public Order Offense,2728
A001,2019-10,Vehicle Stop,4129
A001,2019-10,Warrant,337
A001,2019-11,Civil Caretaking,4012
A001,2019-11,Offense Against Person,1051
A001,2019-11,Other,4421
A001,2019-11,Pedestrian Stop,506
A001,2019-11,Property Offense,1910
A001,2019-11,Public Order Offense,2518
A001,2019-11,Vehicle Stop,3801
A001,2019-11,Warrant,336
A001,2019-12,Civil Caretaking,4368
A001,2019-12,Offense Against Person,959
A001,2019-12,Other,4611
A001,2019-12,Pedestrian Stop,438
A001,2019-12,Property Offense,1869
A001,2019-12,Public Order Offense,2312
A001,2019-12,Vehicle Stop,3207
A001,2019-12,Warrant,326
A001,2020-01,Civil Caretaking,4624
A001,2020-01,Offense Against Person,919
A001,2020-01,Other,5254
A001,2020-01,Pedestrian Stop,442
A001,2020-01,Property Offense,1676
A001,2020-01,Public Order Offense,2283
A001,2020-01,Vehicle Stop,3231
A001,2020-01,Warrant,340
A001,2020-02,Civil Caretaking,3902
A001,2020-02,Offense Against Person,953
A001,2020-02,Other,4697
A001,2020-02,Pedestrian Stop,431
A001,2020-02,Property Offense,1652
A001,2020-02,Public Order Offense,2136
A001,2020-02,Vehicle Stop,3570
A001,2020-02,Warrant,371
A001,2020-03,Civil Caretaking,4546
A001,2020-03,Offense Against Person,1185
A001,2020-03,Other,4977
A001,2020-03,Pedestrian Stop,590
A001,2020-03,Property Offense,1464
A001,2020-03,Public Order Offense,2419
A001,2020-03,Vehicle Stop,3440
A001,2020-03,Warrant,376
A001,2020-04,Civil Caretaking,3800
A001,2020-04,Offense Against Person,1129
A001,2020-04,Other,4605
A001,2020-04,Pedestrian Stop,528
A001,2020-04,Property Offense,1811
A001,2020-04,Public Order Offense,3084
A001,2020-04,Vehicle Stop,3696
A001,2020-04,Warrant,385
A001,2020-05,Civil Caretaking,3602
A001,2020-05,Offense Against Person,1376
A001,2020-05,Other,4714
A001,2020-05,Pedestrian Stop,535
A001,2020-05,Property Offense,1930
A001,2020-05,Public Order Offense,3220
A001,2020-05,Vehicle Stop,3486
A001,2020-05,Warrant,405
A001,2020-06,Civil Caretaking,3593
A001,2020-06,Offense Against Person,1222
A001,2020-06,Other,5644
A001,2020-06,Pedestrian Stop,537
A001,2020-06,Property Offense,2023
A001,2020-06,Public Order Offense,3175
A001,2020-06,Vehicle Stop,3615
A001,2020-06,Warrant,350
A001,2020-07,Civil Caretaking,3908
A001,2020-07,Offense Against Person,1427
A001,2020-07,Other,5051
A001,2020-07,Pedestrian Stop,621
A001,2020-07,Property Offense,2085
A001,2020-07,Public Order Offense,3271
A001,2020-07,Vehicle Stop,4175
A001,2020-07,Warrant,379
A001,2020-08,Civil Caretaking,3219
A001,2020-08,Offense Against Person,1492
A001,2020-08,Other,5184
A001,2020-08,Pedestrian Stop,646
A001,2020-08,Property Offense,2317
A001,2020-08,Public Order Offense,3354
A001,2020-08,Vehicle Stop,4468
A001,2020-08,Warrant,341
A001,2020-09,Civil Caretaking,3652
A001,2020-09,Offense Against Person,1199
A001,2020-09,Other,4921
A001,2020-09,Pedestrian Stop,604
A001,2020-09,Property Offense,2432
A001,2020-09,Public Order Offense,3122
A001,2020-09,Vehicle Stop,3971
A001,2020-09,Warrant,363
A001,2020-10,Civil Caretaking,3996
A001,2020-10,Offense Against Person,1215
A001,2020-10,Other,5148
A001,2020-10,Pedestrian Stop,548
A001,2020-10,Property Offense,2040
A001,2020-10,Public Order Offense,2533
A001,2020-10,Vehicle Stop,4879
A001,2020-10,Warrant,366
A001,2020-11,Civil Caretaking,3667
A001,2020-11,Offense Against Person,1027
A001,2020-11,Other,4618
A001,2020-11,Pedestrian Stop,470
A001,2020-11,Property Offense,1900
A001,2020-11,Public Order Offense,2455
A001,2020-11,Vehicle Stop,3631
A001,2020-11,Warrant,314
A001,2020-12,Civil Caretaking,3844
A001,2020-12,Offense Against Person,958
A001,2020-12,Other,4691
A001,2020-12,Pedestrian Stop,462
A001,2020-12,Property Offense,1558
A001,2020-12,Public Order Offense,2172
A001,2020-12,Vehicle Stop,3506
