incident_id,subject_id,agency_id,agency_name,agency_type,incident_date,year_month,incident_type,contact_reason,incident_location,subject_race,subject_sex,subject_age_group,subject_perceived_armed,subject_weapon,subject_perceived_impaired,subject_resistance,type_of_force,subject_injury,officer_injury,officer_race,officer_sex
UOF000001,S23203,A001,Riverbend Police Department,Municipal Police,2019-01-28,2019-01,Property Offense,Individual Officer/Unit Initiated,Unincorporated Area,Black or African American,Male,25 to 34,Yes,Firearm,Yes,Assaultive,ECW,No,No,White,Male
UOF000002,S25543,A001,Riverbend Police Department,Municipal Police,2019-01-13,2019-01,Warrant,Individual Officer/Unit Initiated,City,Multiple Races/Ethnicities,Male,25 to 34,No,Not Applicable,Yes,Active Resistance,Physical Control,No,No,Unknown,Male
UOF000003,S11943,A001,Riverbend Police Department,Municipal Police,2019-01-09,2019-01,Other,Public Request for Service,City,Hispanic or Latino,Male,35 to 44,Yes,Blunt Object,Yes,Passive Resistance,Physical Control,No,No,White,Male
UOF000004,S75710,A001,Riverbend Police Department,Municipal Police,2019-01-03,2019-01,Offense Against Person,Public Request for Service,Unincorporated Area,White,Female,35 to 44,No,Not Applicable,Yes,Active Resistance,Firearm Discharge,Yes,No,Unknown,Male
UOF000005,S34334,A001,Riverbend Police Department,Municipal Police,2019-01-11,2019-01,Vehicle Stop,Public Request for Service,City,Hispanic or Latino,Male,25 to 34,No,Not Applicable,No,Passive Resistance,Physical Control,No,No,White,Male
UOF000006,S54511,A001,Riverbend Police Department,Municipal Police,2019-01-07,2019-01,Offense Against Person,Public Request for Service,City,White,Male,25 to 34,Yes,Blunt Object,No,Assaultive,ECW,Yes,No,Unknown,Male
UOF000007,S65912,A001,Riverbend Police Department,Municipal Police,2019-01-06,2019-01,Other,Individual Officer/Unit Initiated,Unincorporated Area,Unknown,Male,Under 18,No,Not Applicable,Yes,Passive Resistance,Physical Control,No,Yes,Unknown,Male
UOF000008,S14270,A001,Riverbend Police Department,Municipal Police,2019-01-19,2019-01,Offense Against Person,Public Request for Service,City,White,Male,35 to 44,No,Not Applicable,Yes,None,Physical Control,Yes,No,American Indian or Alaska Native,Female
UOF000009,S71689,A001,Riverbend Police Department,Municipal Police,2019-01-07,2019-01,Offense Against Person,Public Request for Service,City,White,Male,25 to 34,No,Not Applicable,Yes,Assaultive,K9,Yes,Yes,Hispanic or Latino,Male
UOF000010,S54586,A001,Riverbend Police Department,Municipal Police,2019-01-02,2019-01,Offense Against Person,Public Request for Service,City,Unknown,Male,45 to 54,No,Not Applicable,Yes,Active Resistance,Physical Control,Yes,No,White,Male
UOF000011,S05567,A001,Riverbend Police Department,Municipal Police,2019-01-25,2019-01,Property Offense,Public Request for Service,Unincorporated Area,Unknown,Male,45 to 54,No,Not Applicable,Yes,Active Resistance,Less Lethal Projectile,Yes,No,White,Male
UOF000012,S41934,A001,Riverbend Police Department,Municipal Police,2019-01-29,2019-01,Warrant,Agency Request for Service,City,Black or African American,Male,Under 18,No,Not Applicable,Yes,Active Resistance,Physical Control,Yes,No,American Indian or Alaska Native,Male
